UM,REPORT
exposure to harmful substance,"At approximately 9:00 p.m. on April 3, 2017, an employee, maintenance worker at a mobile home park, was operating a Craftsman gas powered pressure washer (1800psi, 2.0gpm, 5.0HP, Model: 580.768010, Serial: 5400248) to assist with cleaning of a laundry room floor.  The employee was killed by asphyxiation apparently from exposure to carbon monoxide. "
handling heavy/sharp object/material,"At 8:45 a.m. on April 3, 2017, an employee was cutting a piece of scrap aluminum to size for disposal using a chop saw. The employee raised the chop saw after cutting a piece and briefly looked away. The employee fed the next section of material to be cut as they looked away. The employee's left index finger touched the moving blade. The finger was severely cut and required amputation at the first knuckle. "
exposure to extreme temperature,"At approximately 7:20 a.m. on April 3, 2017, Employees #1 and #2 were starting up the steam generator for manufacturing of corrugated boxes.  The bottom of the semi-closed receiver (SCR) catastrophically failed at approximately 100 psi causing the approximately 338 degree Fahrenheit water to flash over to steam.  The SCR rocketed out of the facility as a result of the explosion killing Employee #1 and critically injuring Employee #2.  Employee #1 was killed from the explosive blast trauma and Employee #2 received fractures to his legs and face when the boiler room walls collapsed onto him. The SCR travelled approximately 510 feet and crashed through the roof of Faultless Healthcare Linen killing three employees at that establishment. "
machinery and equipment,"At approximately 7:30 a.m. on April 3, 2017, two employees were filling out employment paperwork sitting on desk.  At approximately 500 feet way, a part of a boiler (CSR) exploded, flew 500 feet and went through the roof of the employer where two new employees were sitting. Both employees were struck and crushed to death.	 "
handling heavy/sharp object/material,"At 7:30 a.m. on April 3, 2017, an employee was cutting material and sustained amputation of a finger by a rotating blade. "
handling heavy/sharp object/material,"At 7:30 a.m. on April 3, 2017, an employee was moving freight when the employee's foot was caught between a truck and a building.  The employee's ankle was fractured. "
handling heavy/sharp object/material,"At approximately 6:20 p.m. on April 3, 2017, an employee was carrying parts from one workstation to another. The employee tripped and fell to the ground, hitting his head on the concrete floor. The employee collapsed and was killed.	 "
machinery and equipment,"At 5:30 p.m. on April 3, 2017, an employee was waiting on the ground level for a coworker to lower a couch over a second story balcony railing. The employee was struck by the falling couch. The employee sustained a fractured arm and leg and a bruised knee. "
working at height,"At approximately 3:45 p.m. on April 3, 2017, an employee was removing guardrails from an exterior second story balcony. The employee fell approximately 19 feet to the dirt ground below. He suffered from multiple blunt for trauma and was killed. The owner believed that the employee may have lost his balance while using a ladder to remove guardrails falling to the lower level. 	 "
working at height,"At 3:00 p.m. on April 3, 2017, an employee was working from an order picker disassembling metal racking at a height of approximately six feet and approximately seven feet from the fall protection tie-off point. A beam fell and struck the employee causing the employee to fall to the concrete floor. The employee's fall protection was not adequate for the working height and did not stop the employee's fall. The employee fell to the concrete floor. The employee sustained broken bones. "
heavy vehicle,"At 2:00 p.m. on April 3, 2017, an employee was riding in the cab of a John Deere 310G backhoe. The employee's head struck the cab support post. The employee became unconscious and fell to the ground. The employee was unconscious for a period of approximately 2 minutes. The employee sustained head injuries. "
